Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2024-05-03,168.193359375,169.04930580388765,164.20225344161207,168.7407544368837,22767100
2024-05-06,169.02940368652344,169.0990658013136,167.09854663956006,168.42227868914688,15147900
2024-05-07,172.16455078125,172.65224633966483,169.1986030506817,169.31803249892306,21102400
2024-05-08,170.3531494140625,171.09861155514432,169.71815648241372,169.94507852356688,14569900
2024-05-09,170.7711639404297,171.62711045897458,169.128933022191,170.3431830877281,11937700
2024-05-10,169.48721313476562,170.53226626790192,167.11844324476036,168.890050763585,18740500
2024-05-13,170.09434509277344,170.14411242247,164.97857644921768,165.06517190662683,19648600
2024-05-14,171.1195068359375,171.96550597184986,169.61663051218866,170.78111325631593,18729500
2024-05-15,173.06031799316406,173.2255358178519,171.21903299446922,171.48776444109586,20958200
2024-05-16,174.60299682617188,175.5087106331646,173.22951262162755,173.77692289985708,17247300
2024-05-17,176.45420837402344,176.65824378032863,174.15510066358578,174.7224208450474,16546400
2024-05-20,177.6187286376953,179.1016949111226,176.3895499420499,176.47414073902465,17495100
2024-05-21,178.693603515625,178.9722975078922,176.47412046293638,177.55897832592012,14706000
2024-05-22,177.16087341308594,178.00886190082392,175.94662351519383,177.55898166062008,16189400
2024-05-23,174.2347412109375,179.06188373408688,173.71718830847908,177.93720584610716,14928400
2024-05-24,175.498779296875,176.46818687286654,174.37410127570018,175.6878860636416,11400600
2024-05-28,177.18080139160156,177.6684817663742,174.85182082753647,174.91155073890857,15655300
2024-05-29,176.56370544433594,177.3897945303486,175.42908017169887,175.976490431931,15023800
2024-05-30,172.74180603027344,175.85705553445754,172.41335988432073,175.85705553445754,18844000
2024-05-31,173.1399383544922,173.59776135461897,170.16402810623885,172.5825655047724,28085200
2024-06-03,173.5977783203125,175.03099255737388,171.63706373028532,173.06033057484387,20742800
2024-06-04,174.30442810058594,174.36414282591306,172.40342834776362,173.62762577754341,14066600
2024-06-05,176.2352752685547,177.13102647161713,174.46365245832024,175.70279368634698,15233900
2024-06-06,177.5092315673828,177.867535069039,176.37460634328087,176.59355525115092,14255800
2024-06-07,175.12054443359375,178.5741875907091,174.9612950507807,177.61872166754497,14716300
2024-06-10,175.9973907470703,177.83079699459753,173.7554492975208,175.81802752495432,17122200
2024-06-11,177.55181884765625,177.75109951120558,174.81166791246778,177.08350092603828,14402400
2024-06-12,178.91690063476562,181.42787947273285,177.14327694877989,179.10622257947298,18600400
2024-06-13,176.10699462890625,177.87064426133762,176.0272793318939,177.2030457535148,15956900
2024-06-14,177.7311553955078,178.0898666483664,175.22218357185352,175.22218357185352,12361600
2024-06-17,178.1396942138672,179.27561067019667,175.85790258992213,176.3461379133103,15272900
2024-06-18,175.8180389404297,178.26923510757547,174.99100977195764,178.14965455035454,15640300
2024-06-20,177.0735321044922,178.09984190710827,175.82800902324556,176.07711363949488,16753200
2024-06-21,179.61439514160156,181.85832853145462,177.42227746039913,177.8507453258578,59728000
2024-06-24,180.14248657226562,181.4278748991179,179.58449466770367,180.6307370908269,18198300
2024-06-25,184.9153289794922,185.08471828343806,180.45635054619015,180.49621579661166,18917700
2024-06-26,184.70606994628906,185.26406180555398,183.33102292285417,183.5402622680096,13375700
2024-06-27,186.1907501220703,186.82845731487285,184.78579647406917,184.98010536766324,13025700
2024-06-28,182.7630615234375,185.9117473236654,182.66840055888895,185.05482688953091,23032400
2024-07-01,183.82925415039062,184.67620075111873,182.07554786344363,183.81928023476226,11815900
2024-07-02,185.941650390625,186.2804290197841,182.4043617984991,182.8128970182058,12555500
2024-07-03,186.71885681152344,186.94802880286505,184.72103291035663,185.63276432631835,7409100
2024-07-05,191.27249145507812,191.5714048253656,186.6491104769195,186.6491104769195,14303400
2024-07-08,189.7977752685547,190.9924860557011,188.6419414632955,190.6796152957187,12097600
2024-07-09,189.7579345703125,192.16926542683404,189.54868000321284,191.06324032448242,10198500
2024-07-10,191.96998596191406,192.61765188536268,189.9372837700379,190.06682303638334,12052900
2024-07-11,186.62918090820312,191.7208798554092,186.15090430376924,190.65470480345505,16452000
2024-07-12,186.1110382080078,188.01420111013582,185.4733310036047,186.25053618384166,14449100
2024-07-15,187.5159912109375,189.21985825223288,185.82208288068784,185.82208288068784,12186000
2024-07-16,184.8356170654297,189.65827857329185,184.45697320018698,188.28323149134974,12760100
2024-07-17,181.9659423828125,184.5665952870992,180.96952387855154,184.0185620689277,17376600
2024-07-18,178.57810974121094,183.39081251523982,177.57173261448804,182.88262939240457,17877200
2024-07-19,178.7475128173828,181.31827435333457,178.2194122325236,179.7239986831795,14485900
2024-07-22,182.69332885742188,183.63992334392967,181.2485099418617,181.69691040759497,16303900
2024-07-23,182.94244384765625,184.55663696261976,182.6734065937824,183.18157455853097,23772600
2024-07-24,173.7454833984375,177.31266333834552,172.94836078735528,174.7618344929483,31250700
2024-07-25,168.5541534423828,174.57251436164208,168.44454680160155,173.62591984806159,28967900
2024-07-26,168.0758514404297,169.23170045423535,165.27094636539994,168.16554065318968,25150100
2024-07-29,170.51710510253906,171.54341495524503,169.11215134932957,169.88935657362845,13768900
2024-07-30,171.24449157714844,172.3305841410966,169.51071783712683,171.21460023716017,13681400
2024-07-31,172.52984619140625,175.27997080668484,171.10497512525495,174.29351108109944,15650200
2024-08-01,171.83236694335938,175.05079443481682,169.89931262453103,171.36404903295707,17177800
2024-08-02,167.79685974121094,169.60038989475044,165.7940641440123,167.58762038247167,18907800
2024-08-05,160.0646514892578,165.3456720606902,156.039127834995,156.8063590575562,34907800
